feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile
cash_flow_per_share_to_eps_rank,-0.0054667328110903825,0.0054667328110903825,0.5,0.0035734543504137082,0.0058794432450811895,0.5333333333333333,-0.021410944143622025,0.002004008016032064,-1,120,0.0027333664055451913,0.0027333664055451913,0.0035734543504137082,0.5396713940701916,general
cash_flow_per_share_to_eps_zscore,-0.0054667328110903825,0.0054667328110903825,0.5,0.0035734543504137082,0.0058794432450811895,0.5333333333333333,-0.021410944143622025,0.002004008016032064,-1,120,0.0027333664055451913,0.0027333664055451913,0.0035734543504137082,0.5396713940701916,general
amount_z_5d,-0.014981701797973515,0.014981701797973515,0.575,0.0005125114431214734,0.0016141106132035192,0.525,-0.029688865396073683,0.0021209084836339345,-1,120,0.00861447853383477,0.00861447853383477,0.0005125114431214734,0.5396597040234314,general
vol_20d_zscore,-0.04673415964356475,0.04673415964356475,0.6166666666666667,-0.0015455637317536334,-0.0018462689549655538,0.5083333333333333,-0.06117232573537994,0.004342017368069473,-1,120,0.02881939844686493,0.02881939844686493,-0.0015455637317536334,0.5359119521093468,general
vol_20d,-0.04673415964356475,0.04673415964356475,0.6166666666666667,-0.0015455637317536334,-0.0018462689549655538,0.5083333333333333,-0.06117232573537994,0.004342017368069473,-1,120,0.02881939844686493,0.02881939844686493,-0.0015455637317536334,0.5359119521093468,general
vol_20d_rank,-0.04673415964356475,0.04673415964356475,0.6166666666666667,-0.0015455637317536334,-0.0018462689549655538,0.5083333333333333,-0.06117232573537994,0.004342017368069473,-1,120,0.02881939844686493,0.02881939844686493,-0.0015455637317536334,0.5359119521093468,general
relative_vol_20d,-0.04673415964356475,0.04673415964356475,0.6166666666666667,-0.0015455637317536334,-0.0018462689549655538,0.5083333333333333,-0.06117232573537994,0.004342017368069473,-1,120,0.02881939844686493,0.02881939844686493,-0.0015455637317536334,0.5359119521093468,general
roa_ttm_zscore,0.026860064329677854,0.026860064329677854,0.55,-0.0012976750728303779,-8.836327430027635e-05,0.48333333333333334,-0.03372973413748842,0.0,1,120,0.014773035381322821,0.014773035381322821,-0.0012976750728303779,0.5358974358974359,general
roa_ttm,0.026860064329677854,0.026860064329677854,0.55,-0.0012976750728303779,-8.836327430027635e-05,0.48333333333333334,-0.03372973413748842,0.0,1,120,0.014773035381322821,0.014773035381322821,-0.0012976750728303779,0.5358974358974359,general
roa_ttm_rank,0.026860064329677854,0.026860064329677854,0.55,-0.0012976750728303779,-8.836327430027635e-05,0.48333333333333334,-0.03372973413748842,0.0,1,120,0.014773035381322821,0.014773035381322821,-0.0012976750728303779,0.5358974358974359,general
net_profit_growth_3y,0.017700883123378777,0.017700883123378777,0.5916666666666667,-8.636546998328989e-05,-0.001557515737159774,0.5,-0.02969153906706347,0.0072812291249165,1,120,0.010473022514665776,0.010473022514665776,-8.636546998328989e-05,0.5358103386259698,general
net_profit_growth_3y_rank,0.017700883123378777,0.017700883123378777,0.5916666666666667,-8.636546998328989e-05,-0.001557515737159774,0.5,-0.02969153906706347,0.0072812291249165,1,120,0.010473022514665776,0.010473022514665776,-8.636546998328989e-05,0.5358103386259698,general
net_profit_growth_3y_zscore,0.017700883123378777,0.017700883123378777,0.5916666666666667,-8.636546998328989e-05,-0.001557515737159774,0.5,-0.02969153906706347,0.0072812291249165,1,120,0.010473022514665776,0.010473022514665776,-8.636546998328989e-05,0.5358103386259698,general
pb_industry_rank,-0.009259762107719255,0.009259762107719255,0.5583333333333333,0.0019380031974124473,,0.6083333333333333,-0.03180235854092036,0.0,-1,120,0.005170033843476584,0.005170033843476584,0.0019380031974124473,0.5355128205128205,general
ret_3d_rank,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general
excess_ret_3d,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general
excess_ret_3d_rank,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general
ret_3d_zscore,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general
ret_3d,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general
pb_zscore,-0.044055384669224,0.044055384669224,0.5916666666666667,-0.001906756616798785,-0.0020359930575916947,0.5166666666666667,-0.0532909464520681,0.0,-1,120,0.026066102595957534,0.026066102595957534,-0.001906756616798785,0.5351282051282051,general
pb,-0.044055384669224,0.044055384669224,0.5916666666666667,-0.001906756616798785,-0.0020359930575916947,0.5166666666666667,-0.0532909464520681,0.0,-1,120,0.026066102595957534,0.026066102595957534,-0.001906756616798785,0.5351282051282051,general
pb_rank,-0.044055384669224,0.044055384669224,0.5916666666666667,-0.001906756616798785,-0.0020359930575916947,0.5166666666666667,-0.0532909464520681,0.0,-1,120,0.026066102595957534,0.026066102595957534,-0.001906756616798785,0.5351282051282051,general
volume_z_5d,-0.013476718020755236,0.013476718020755236,0.525,0.0009171488485232734,0.0019628555974853983,0.5416666666666666,-0.03311309794666564,0.0021209084836339345,-1,120,0.0070752769608965,0.0070752769608965,0.0009171488485232734,0.5345314988952263,general
