strategy,mean_score_3713,std_score_3713,worst_score_3713,robust_score,legacy_mean_score_3713,legacy_std_score_3713,legacy_worst_score_3713,legacy_robust_score,avg_legacy_raw_score_3713,avg_mean_13w,worst_13w,avg_hit_13w,avg_mean_7w,worst_7w,avg_hit_7w,avg_mean_3w,worst_3w,avg_hit_3w,avg_holdings,min_holdings,max_holdings,alpha,requested_top_k,blend_source,is_grid,overall_rank,legacy_overall_rank
final_portfolio_a0.60_k56,0.5010530303030303,0.1491019714807588,0.3057727272727273,0.3872174543670756,0.5001439393939394,0.1543335541613768,0.3122212121212121,0.387715508220226,0.0100101209822158,0.0089887164617024,-0.0314613410738459,0.5384615384615384,0.0150107921560069,-0.0290566369722576,0.6428571428571428,0.0297895204819682,0.0116301764571906,1.0,45.61538461538461,38,56,0.6,56,final_portfolio,True,53,51
final_portfolio_a0.60_k59,0.4999924242424242,0.1491847752447618,0.3057727272727273,0.3865197800512814,0.4991075757575758,0.1540724214908352,0.3122212121212121,0.3870679851236438,0.0100049344449623,0.0089794854012461,-0.0314613410738459,0.5384615384615384,0.0149936487580167,-0.0290566369722576,0.6428571428571428,0.0297895204819682,0.0116301764571906,1.0,45.67307692307692,38,59,0.6,59,final_portfolio,True,54,52
final_portfolio_a0.55_k47,0.5055,0.16785118776785,0.3055606060606061,0.3881800327383665,0.5049325757575758,0.1835486485634335,0.3064939393939394,0.3864747942345657,0.0100621823452074,0.0089324173725883,-0.0307268409194202,0.5384615384615384,0.0150979753904975,-0.0283425223351659,0.6428571428571428,0.0295925643963879,0.0125278986538663,1.0,44.38461538461539,38,47,0.55,47,final_portfolio,True,52,53
final_portfolio_a0.50_k38,0.515560606060606,0.1909592842265682,0.3209545454545454,0.3962571018803734,0.5183007575757576,0.216184749136699,0.283330303030303,0.3861095932681482,0.0096093019991545,0.0101689159558767,-0.0329220973351186,0.5384615384615385,0.0154103352920601,-0.0312988479609071,0.6428571428571428,0.0310436204407081,0.0141979176791145,1.0,38.0,38,38,0.5,38,final_portfolio,True,49,54
final_portfolio_a0.60_k44,0.5271666666666667,0.1881547969547412,0.2740454545454545,0.3923542172742228,0.5248121212121213,0.2138506892274557,0.2617666666666666,0.3851844765318,0.0101189419195556,0.0092739685213686,-0.0314613410738459,0.5384615384615384,0.015304417917029,-0.0290566369722576,0.6428571428571428,0.0296147738632994,0.011714957673009,1.0,43.21153846153846,38,44,0.6,44,final_portfolio,True,50,55
final_portfolio_a0.60_k53,0.4974924242424242,0.1616122173011425,0.2697121212121212,0.3746368843304917,0.494767803030303,0.1671214075432763,0.2718030303030303,0.3728376887911269,0.009974289650433,0.0089877134770583,-0.0314613410738459,0.5384615384615384,0.0150083392826422,-0.0290566369722576,0.6428571428571428,0.0296355011197852,0.0116301764571906,1.0,45.46153846153846,38,53,0.6,53,final_portfolio,True,57,56
final_portfolio_a0.55_k41,0.5185795454545454,0.2450797946777692,0.2813787878787879,0.3829134220473745,0.5186643939393939,0.2757390651327614,0.2392212121212121,0.3693632525776329,0.0101296002265713,0.0095453374113385,-0.0296206929319724,0.5384615384615384,0.0153793752073795,-0.0283425223351659,0.6428571428571428,0.0298471488513944,0.0132539792546787,1.0,40.92307692307692,38,41,0.55,41,final_portfolio,True,56,57
final_portfolio_a0.60_k50,0.50325,0.1826854029182242,0.2288030303030303,0.3660447172839352,0.502367803030303,0.1932170615545501,0.2225757575757575,0.3628613052081814,0.0099623565225615,0.0089643400637514,-0.0314613410738459,0.5384615384615384,0.0149932508099339,-0.0290566369722576,0.6428571428571428,0.029608902401434,0.0116301764571906,1.0,45.07692307692308,38,50,0.6,50,final_portfolio,True,59,58
final_portfolio_a0.55_k38,0.4993598484848485,0.2031244578646435,0.2741363636363636,0.3728055466377781,0.4939371212121212,0.2340491676266667,0.2536757575757576,0.3610731514191516,0.0094687723129104,0.0101349193376027,-0.0333959285030742,0.5576923076923077,0.015329350058979,-0.0316607225314183,0.6428571428571428,0.0306963230469832,0.0131200814303846,1.0,38.0,38,38,0.55,38,final_portfolio,True,58,59
final_portfolio_a0.65_k56,0.4915151515151515,0.1816071107549692,0.2358636363636363,0.3602900465002606,0.4863098484848485,0.1943558793975756,0.2331757575757576,0.3549597529693333,0.009874358867396,0.0090962929308302,-0.0321958412282715,0.5384615384615384,0.0149826780036533,-0.0297707516093493,0.6428571428571428,0.02957792163744,0.0107324542605149,1.0,45.61538461538461,38,56,0.65,56,final_portfolio,True,61,60
final_portfolio_a0.65_k59,0.4902272727272727,0.1815479510129157,0.2358636363636363,0.3594588412623448,0.4851439393939394,0.1939536843782151,0.2331757575757576,0.3542421315621785,0.0098697328602403,0.0090880595084834,-0.0321958412282715,0.5384615384615384,0.0149673873621521,-0.0297707516093493,0.6428571428571428,0.02957792163744,0.0107324542605149,1.0,45.67307692307692,38,59,0.65,59,final_portfolio,True,62,61
final_portfolio_a0.65_k44,0.512280303030303,0.2127380675032416,0.2126212121212121,0.3648636932496759,0.5048257575757575,0.242942270227359,0.1910121212121212,0.3515955457045367,0.0099639788010755,0.0093490648508093,-0.0321958412282715,0.5384615384615384,0.0152318382624232,-0.0297707516093493,0.6428571428571428,0.0294075441990956,0.0107969008581376,1.0,43.21153846153846,38,44,0.65,44,final_portfolio,True,60,62
final_portfolio_a0.60_k47,0.49125,0.1964070894273387,0.2312272727272727,0.3574786092390842,0.4863189393939394,0.2201866456216724,0.2187757575757575,0.3487825854378328,0.0099317149653602,0.0090349819549945,-0.0314613410738459,0.5384615384615384,0.0150571758469897,-0.0290566369722576,0.6428571428571428,0.0294148025641034,0.0116301764571906,1.0,44.38461538461539,38,47,0.6,47,final_portfolio,True,63,63
final_portfolio_a0.65_k53,0.4899999999999999,0.192191611050344,0.2088939393939393,0.3515043237434503,0.4836109848484848,0.2051571337000159,0.2013939393939394,0.3441799116299984,0.0098418265460008,0.0090953916854592,-0.0321958412282715,0.5384615384615384,0.0149789147100486,-0.0297707516093493,0.6428571428571428,0.0294398076896051,0.0107324542605149,1.0,45.46153846153846,38,53,0.65,53,final_portfolio,True,65,64
final_portfolio_a0.60_k41,0.4993295454545454,0.2544218489064709,0.2293484848484848,0.3564591408669286,0.4968303030303029,0.2918451776666401,0.1996121212121212,0.3436582095060632,0.0099936776137078,0.0095851677209229,-0.0304994004179979,0.5384615384615384,0.015304244314409,-0.0290566369722576,0.6428571428571428,0.0296321349761966,0.0122257267697548,1.0,40.92307692307692,38,41,0.6,41,final_portfolio,True,64,65
